scenario_ids,gt_critical_continuous_individual,gt_critical_continuous_interaction,gt_critical_continuous_safeshift
c9b6045a4d6deddf.pkl,9.461,70.323,39.892
6b9b2173ca7901b4.pkl,4.478,0.089,2.283
d8f8295348bb50d0.pkl,20.581,27.968,24.275
2b5a12eb54c0bf27.pkl,7.742,8.73,8.236
d699ae64943ead0.pkl,3.918,10.721,7.319
a3a6fcdc771db60f.pkl,6.686,8.171,7.429
fcc46b4a9aa55c3c.pkl,4.953,11.948,8.451
282bbdb4c4531975.pkl,5.091,31.158,18.124
5203e8a1ddf7c284.pkl,27.111,72.296,49.703
70c34c4d7893540e.pkl,3.359,9.066,6.212
561c9628d98b3e63.pkl,3.911,14.451,9.181
e6335474a42f034a.pkl,21.458,30.559,26.008
2688cd1a4431c936.pkl,6.518,27.861,17.189
d3f27b6eee6b4f34.pkl,12.921,71.775,42.348
69f1396050a88580.pkl,6.802,26.702,16.752
46a4b34c8cdebef6.pkl,4.899,7.621,6.26
c7c13c5119235b96.pkl,9.228,43.777,26.503
a196f228b4249aa6.pkl,1.41,0.898,1.154
947694e846b6597d.pkl,4.94,11.101,8.02
9039050c5de0819f.pkl,8.984,27.857,18.421
7610d1c72f12f9b9.pkl,12.175,50.155,31.165
6644e9316c65b696.pkl,9.671,38.302,23.986
b9ebb6a0d6637845.pkl,8.64,53.021,30.831
fb3125e9d5bc2fa1.pkl,19.707,14.075,16.891
6455b3e3a3a05022.pkl,9.656,18.075,13.865
83de7c49bda9b0d4.pkl,18.354,7.064,12.709
54f5c3a1ee8905f2.pkl,12.451,17.001,14.726
adc6bffe3c649bb8.pkl,12.745,27.206,19.975
598553a4538b8428.pkl,10.049,10.383,10.216
3b5f2729e1c5e4a5.pkl,6.485,0.0,3.243
b4b604eb9a19cff8.pkl,12.146,40.698,26.422
da4150c9b3efbc65.pkl,12.017,27.968,19.992
f72045e2752db3c2.pkl,7.149,2.955,5.052
d39eda56fc715bc2.pkl,11.22,35.733,23.477
f5dfe0dd1d16a10b.pkl,12.041,106.675,59.358
1ba702a85f4fa15c.pkl,3.049,3.852,3.451
29ca0327e11871d8.pkl,4.397,8.374,6.385
2915cf75e2ed22c1.pkl,10.922,32.914,21.918
3192f35118026772.pkl,9.711,21.899,15.805
74dec8b08e3f1206.pkl,10.417,23.317,16.867
5c4e90f422e930c4.pkl,3.648,5.691,4.67
5368ab55370a40d3.pkl,16.498,20.789,18.644
fbedbec089659222.pkl,10.034,64.274,37.154
97279a9ab493e03d.pkl,5.354,6.095,5.724
18ce617f85f1bad1.pkl,3.115,16.612,9.863
85050ccc7f26ce9d.pkl,11.503,29.849,20.676
3f1e0309183b14cf.pkl,8.848,10.315,9.581
a48a18b9d424446f.pkl,8.067,24.691,16.379
d99e2473f16c378e.pkl,30.483,32.221,31.352
e53bf8beeead57b.pkl,24.983,42.829,33.906
4d39f65a3be030eb.pkl,2.875,6.544,4.709
c9b24dbe9b8d678c.pkl,19.511,54.211,36.861
26619370d451897a.pkl,7.649,22.543,15.096
bceb1bfe9b2e2ebf.pkl,13.244,27.128,20.186
d568815c3edd5f38.pkl,21.789,43.147,32.468
ff3f12d4284f0f09.pkl,15.37,15.854,15.612
c30b4f6b20182c9e.pkl,8.935,20.393,14.664
33054dfada85b2b0.pkl,13.573,45.446,29.509
3ce8717c8812d8e4.pkl,3.928,4.31,4.119
5a4c0411c3869260.pkl,9.964,8.67,9.317
5e40dc018563220e.pkl,5.791,5.764,5.777
66d1305eadebe84c.pkl,10.781,31.374,21.077
5c8cba799cc8e6ce.pkl,7.541,6.19,6.865
9741c8efb5d8b3e1.pkl,10.528,41.705,26.117
888d2ac2b622078b.pkl,18.042,181.398,99.72
64efb26f46f4dae2.pkl,5.592,2.71,4.151
